Recognition ↔ Broadcast
6.14
4.98
4.94
5.03
4.97
5.54
9.04
5.17
5.04
6.18
5.03
4.81
5.43
5.28
4.84
5.50
4.99
5.18
4.98
8.14
4.84
5.57
5.05
5.09
5.52
5.01
4.82
5.52
6.04
5.16
5.07
5.05
5.05
5.16
5.10
5.08
5.12
7.80
4.100
5.02
5.20
4.99
6.70
4.98
5.04
5.13
7.34
5.02
4.97
4.99
5.04
5.90
4.99
5.01
5.40
7.39
5.00
4.98
5.24
4.100
20.7
4.99
4.100
4.99
5.100
5.01
5.00
4.99
4.99
5.03
5.02
5.01
4.96
7.68
5.01
4.99
4.97
5.01
5.43
4.96
5.04
5.01
7.95
5.01
4.100
4.94
4.97
4.98
4.92
5.00
5.07
7.44
5.00
4.93
4.96
5.03
6.56
4.90
4.87
5.29
8.29
4.92
5.06
4.85
4.91
5.02
4.90
5.50
6.02
16.1
6.23
4.92
6.08
4.89
4.95
4.91
4.96
4.95
4.92
5.02
5.17
4.89
4.95
29.8
4.93
5.59
6.48
8.20
5.31
4.95
7.27
5.03
4.93
4.91
4.96
4.94
5.03
4.95
5.58
4.94
28.2
8.32
5.39
4.96
4.88
8.62
5.92
4.86
4.94
5.66
4.93
4.98
4.91
4.94
4.93
4.90
4.90
5.97
4.94
5.35
6.15
4.91
4.88
4.90
4.92
5.39
5.91
4.90
5.64
5.02
4.94
4.96
4.94
5.01
4.90
6.23
5.01
6.00
6.07
4.91
4.93
4.92
4.97
5.67
5.49
5.03
5.68
5.35
4.93
4.96
5.01
4.92
5.15
5.98
4.90
5.95
5.75
4.98
4.99
4.92
4.92
4.93
5.00
4.94
5.77
4.83
5.25
6.84
4.78
4.98
5.32
6.47
4.99
5.12
5.01
5.37
4.91
25.5
4.97
22.15
4.88
4.93
5.18
4.92
4.94
5.02
4.93
4.92
4.92
4.96
4.96
5.60
4.84
4.94
5.01
4.94
12.7
5.21
9.37
5.47
5.43
5.18
4.97
4.93
4.97
4.94
4.95
5.88
5.80
6.47
4.92
4.93
4.91
4.90
4.96
4.90
4.92
5.03
4.90
5.00
4.94
9.81
8.84
8.02
4.97
5.04
4.94
4.91
6.06
4.96
4.95
4.92
4.93
4.95
4.89
6.02
4.94
6.75
4.99
6.85
4.93
4.92
4.87
4.98
4.99
4.98
4.89
4.93
4.92
4.96
4.98
5.05
4.86
7.77
4.96
5.13
5.07
4.91
5.79
5.47
5.40
4.98
4.95
14.7
5.83
5.08
5.17
5.32
5.95
4.97
4.91
4.93
4.88
4.92
4.95
5.73
4.88
5.37
4.99
4.91
4.92
4.87
4.92
5.75
11.8
5.13
6.00
4.92
4.87
5.32
4.97
4.87
5.53
5.25
4.88
5.18
4.88
4.98
4.86
4.91
4.91
5.10
6.29
5.25
4.88
4.94
4.83
5.84
4.79
5.04
5.00
6.88
4.75
4.94
5.05
5.23
5.86
5.56
4.37
4.77
4.90
4.91
5.56
4.96
5.23
4.92
4.92
4.84
4.90
4.89
14.5
5.73
6.77
6.09
6.04
5.73
4.89
4.84
4.87
4.23
4.88
5.12
5.34
4.92
5.61
4.92
5.27
4.95
4.92
4.89
4.99
5.29
5.03
4.93
4.96
