Broadcast ↔ Receiver @ 64ft
10.4 
3.52 
4.23 
1.92 
2.56 
2.99 
2.35 
4.09 
1.78 
3.59 
2.08 
2.54 
1.57 
1.75 
3.64 
1.56 
2.21 
2.19 
2.24 
1.68 
1.75 
2.19 
2.34 
2.19 
2.59 
1.69 
3.16 
2.22 
2.34 
2.99 
1.77 
1.67 
2.72 
1.73 
4.31 
1.80 
2.73 
1.66 
1.74 
1.73 
3.72 
1.75 
2.75 
3.61 
8.46 
2.64 
2.74 
1.86 
3.88 
2.01 
5.36 
1.77 
3.44 
2.21 
1.76 
1.69 
1.76 
5.67 
1.71 
3.30 
1.79 
1.68 
1.75 
93.5 
1.67 
1.86 
106 
70.9 
1.74 
1.77 
1.67 
1.78 
1.74 
1.73 
1.73 
4.00 
1.67 
9.76 
1.78 
1.68 
4.12 
1.79 
1.66 
2.22 
10.9 
3.09 
7.05 
2.54 
2.34 
3.57 
1.77 
1.86 
1.75 
1.74 
2.05 
5.03 
1.77 
1.66 
2.79 
2.34 
1.69 
1.76 
1.74 
1.66 
2.12 
1.81 
1.65 
2.64 
1.95 
3.46 
2.42 
1.74 
1.63 
1.72 
3.66 
1.74 
2.53 
2.76 
2.43 
1.78 
1.78 
3.27 
2.03 
1.72 
1.78 
5.71 
1.80 
5.33 
1.73 
1.80 
2.71 
2.76 
1.80 
1.67 
1.73 
2.21 
2.14 
4.78 
2.21 
4.04 
4.84 
3.42 
3.28 
2.24 
1.74 
1.64 
3.82 
1.75 
5.58 
1.72 
2.33 
2.89 
1.96 
4.01 
74.6 
3.87 
1.88 
2.13 
1.90 
2.92 
3.27 
2.79 
2.28 
1.62 
5.03 
1.74 
2.31 
3.66 
2.37 
1.68 
1.76 
2.03 
2.30 
1.73 
1.76 
1.68 
1.75 
1.74 
1.68 
1.79 
1.85 
1.79 
1.81 
1.84 
1.78 
1.79 
1.77 
1.65 
3.17 
3.25 
3.99 
2.35 
1.71 
1.62 
1.73 
2.44 
1.65 
2.99 
1.99 
2.99 
2.12 
2.33 
1.68 
1.71 
1.74 
1.93 
2.94 
1.74 
1.85 
1.65 
3.28 
1.68 
1.62 
2.41 
3.88 
2.43 
3.64 
4.22 
2.04 
2.23 
2.18 
3.69 
2.24 
4.20 
1.81 
3.56 
3.96 
2.87 
3.23 
1.76 
1.80 
1.77 
4.78 
1.55 
2.81 
4.06 
3.22 
2.28 
5.62 
1.75 
2.68 
6.35 
20.7 
3.26 
5.15 
31.4 
4.60 
1.61 
4.34 
1.76 
2.43 
1.77 
1.72 
1.68 
1.73 
1.94 
1.66 
2.79 
1.74 
1.68 
7.56 
7.04 
1.64 
64.3 
1.73 
1.69 
2.07 
1.71 
93.6 
1.71 
1.77 
1.66 
1.72 
1.72 
2.12 
2.27 
2.42 
1.62 
2.80 
1.74 
2.63 
2.34 
1.74 
1.65 
2.90 
1.79 
1.75 
1.85 
2.24 
1.71 
2.07 
1.60 
1.71 
1.71 
1.63 
3.51 
3.31 
2.16 
2.36 
1.71 
2.74 
1.71 
1.71 
1.72 
1.85 
1.67 
2.17 
1.75 
1.73 
3.21 
3.84 
1.73 
2.04 
1.70 
1.55 
2.14 
1.65 
1.74 
1.64 
2.21 
1.67 
2.04 
1.72 
1.72 
1.70 
3.97 
1.72 
4.27 
2.22 
1.71 
2.13 
1.75 
6.07 
1.63 
2.97 
4.86 
1.69 
1.72 
1.86 
1.66 
1.71 
1.87 
1.64 
1.72 
1.75 
1.59 
1.98 
120 
1.64 
1.73 
1.71 
1.55 
1.72 
3.92 
1.76 
1.67 
1.86 
4.24 
1.72 
3.01 
2.80 
2.15 
2.87 
1.76 
3.49 
1.73 
2.12 
1.71 
2.57 
1.67 
2.12 
1.72 
1.92 
5.76 
1.60 
1.51 
27.7 
1.58 
1.47 
1.56 
8.68 
2.06 
1.55 
2.83 
1.65 
6.51 
2.04 
50.5 
1.64 
