Broadcast↔Receiver@100ft,
4.21,
3.75,
3.49,
5.01,
2.19,
2.26,
1.79,
1.86,
2.49,
1.73,
1.66,
2.10,
5.40,
1.62,
1.71,
3.36,
1.64,
2.36,
1.71,
2.24,
2.25,
4.73,
1.94,
3.47,
3.37,
1.63,
1.71,
1.72,
1.62,
1.74,
1.72,
1.74,
1.69,
1.73,
1.64,
1.73,
1.90,
3.00,
1.71,
1.75,
1.70,
1.72,
1.72,
1.87,
2.01,
1.73,
1.63,
3.68,
1.70,
1.63,
1.71,
1.75,
1.69,
1.71,
1.74,
4.11,
1.72,
3.54,
1.84,
1.97,
3.25,
1.73,
1.73,
1.72,
2.64,
1.72,
2.97,
1.67,
1.72,
2.93,
2.66,
1.68,
1.70,
2.93,
2.20,
2.12,
1.63,
1.67,
3.73,
1.63,
2.91,
1.79,
2.12,
2.06,
1.87,
2.75,
1.78,
1.79,
2.41,
1.83,
3.04,
3.17,
1.77,
1.78,
1.79,
1.79,
2.46,
2.32,
5.36,
1.79,
1.80,
1.77,
1.69,
1.64,
1.92,
2.40,
53.6,
5.07,
1.71,
1.66,
3.21,
5.56,
1.71,
1.72,
16.1,
1.65,
109,
1.70,
1.63,
3.41,
2.06,
1.64,
1.75,
2.37,
2.18,
3.41,
7.70,
2.21,
3.49,
1.72,
2.44,
1.93,
1.68,
2.65,
2.16,
2.42,
2.48,
2.92,
40.3,
2.90,
2.05,
1.66,
3.92,
2.13,
1.78,
1.75,
4.08,
1.65,
1.71,
1.71,
1.60,
1.72,
1.72,
2.64,
1.71,
1.71,
2.65,
1.70,
2.81,
1.64,
1.68,
1.70,
1.64,
1.66,
1.73,
1.86,
1.68,
1.77,
1.70,
4.76,
3.24,
2.50,
1.69,
1.73,
2.21,
1.63,
4.05,
1.79,
40.3,
3.66,
1.79,
1.99,
1.77,
2.06,
1.47,
2.53,
2.94,
5.50,
4.12,
2.43,
3.83,
7.91,
2.80,
4.09,
12.0,
3.52,
1.67,
22.9,
1.74,
1.95,
1.73,
1.81,
2.59,
4.02,
1.74,
1.65,
7.79,
1.79,
1.64,
1.74,
5.62,
1.73,
1.72,
1.95,
1.66,
3.99,
1.72,
2.67,
1.75,
3.83,
1.74,
1.72,
1.72,
1.65,
1.74,
1.79,
1.66,
1.71,
1.74,
1.68,
1.72,
1.73,
1.63,
5.02,
10.3,
1.71,
1.72,
3.20,
1.65,
1.76,
1.78,
1.69,
2.06,
2.01,
2.49,
1.73,
1.72,
3.29,
1.87,
54.7,
2.63,
4.32,
1.76,
2.31,
27.7,
2.83,
1.65,
32.8,
2.76,
2.48,
1.72,
5.83,
1.61,
2.53,
1.77,
2.20,
1.72,
2.15,
2.46,
1.77,
9.15,
1.65,
1.74,
2.20,
1.66,
1.71,
3.52,
2.96,
1.76,
1.76,
1.66,
5.64,
1.71,
3.46,
1.76,
2.07,
1.64,
1.71,
3.06,
1.66,
3.80,
3.13,
7.03,
3.41,
1.76,
2.99,
1.73,
1.72,
60.0,
2.28,
2.35,
2.74,
2.77,
1.76,
2.77,
73.8,
37.0,
7.74,
16.1,
4.08,
3.06,
4.70,
2.20,
31.0,
6.22,
7.75,
47.0,
109,
42.6,
21.5,
53.8,
4.75,
3.32,
4.27,
6.35,
2.32,
1.73,
7.82,
10.8,
16.6,
5.85,
4.40,
5.10,
6.16,
1.77,
1.76,
1.71,
1.78,
1.79,
1.70,
1.73,
1.78,
1.65,
1.89,
1.82,
2.13,
1.81,
1.76,
3.04,
3.45,
2.08,
1.71,
45.6,
11.8,
1.63,
1.82,
5.32,
1.54,
1.77,
1.57,
1.50,
4.04,
