PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=83 ttl=64 time=16.9 ms
64 bytes from 192.168.1.2: icmp_seq=84 ttl=64 time=34.5 ms
64 bytes from 192.168.1.2: icmp_seq=85 ttl=64 time=113 ms
64 bytes from 192.168.1.2: icmp_seq=86 ttl=64 time=6.38 ms
64 bytes from 192.168.1.2: icmp_seq=89 ttl=64 time=40.9 ms
64 bytes from 192.168.1.2: icmp_seq=90 ttl=64 time=9.39 ms
64 bytes from 192.168.1.2: icmp_seq=91 ttl=64 time=2.95 ms
64 bytes from 192.168.1.2: icmp_seq=92 ttl=64 time=2.93 ms
64 bytes from 192.168.1.2: icmp_seq=93 ttl=64 time=5.79 ms
64 bytes from 192.168.1.2: icmp_seq=94 ttl=64 time=3.32 ms
64 bytes from 192.168.1.2: icmp_seq=95 ttl=64 time=1.73 ms
64 bytes from 192.168.1.2: icmp_seq=96 ttl=64 time=1.77 ms
64 bytes from 192.168.1.2: icmp_seq=97 ttl=64 time=1.89 ms
64 bytes from 192.168.1.2: icmp_seq=98 ttl=64 time=3.32 ms
64 bytes from 192.168.1.2: icmp_seq=99 ttl=64 time=6.77 ms
64 bytes from 192.168.1.2: icmp_seq=100 ttl=64 time=2.18 ms
64 bytes from 192.168.1.2: icmp_seq=101 ttl=64 time=2.33 ms
64 bytes from 192.168.1.2: icmp_seq=102 ttl=64 time=6.59 ms
64 bytes from 192.168.1.2: icmp_seq=103 ttl=64 time=4.66 ms
64 bytes from 192.168.1.2: icmp_seq=104 ttl=64 time=1.90 ms
64 bytes from 192.168.1.2: icmp_seq=105 ttl=64 time=38.2 ms
64 bytes from 192.168.1.2: icmp_seq=106 ttl=64 time=8.51 ms
64 bytes from 192.168.1.2: icmp_seq=107 ttl=64 time=2.42 ms
64 bytes from 192.168.1.2: icmp_seq=108 ttl=64 time=3.01 ms
64 bytes from 192.168.1.2: icmp_seq=109 ttl=64 time=2.00 ms
64 bytes from 192.168.1.2: icmp_seq=110 ttl=64 time=1.80 ms
64 bytes from 192.168.1.2: icmp_seq=111 ttl=64 time=2.33 ms
64 bytes from 192.168.1.2: icmp_seq=112 ttl=64 time=1.72 ms
64 bytes from 192.168.1.2: icmp_seq=113 ttl=64 time=14.7 ms
64 bytes from 192.168.1.2: icmp_seq=114 ttl=64 time=2.14 ms
64 bytes from 192.168.1.2: icmp_seq=115 ttl=64 time=1.92 ms
64 bytes from 192.168.1.2: icmp_seq=116 ttl=64 time=1.80 ms
64 bytes from 192.168.1.2: icmp_seq=117 ttl=64 time=2.14 ms
64 bytes from 192.168.1.2: icmp_seq=118 ttl=64 time=1.69 ms
64 bytes from 192.168.1.2: icmp_seq=119 ttl=64 time=1.80 ms
64 bytes from 192.168.1.2: icmp_seq=120 ttl=64 time=2.01 ms
64 bytes from 192.168.1.2: icmp_seq=121 ttl=64 time=1.82 ms
64 bytes from 192.168.1.2: icmp_seq=122 ttl=64 time=24.7 ms
64 bytes from 192.168.1.2: icmp_seq=123 ttl=64 time=2.76 ms
64 bytes from 192.168.1.2: icmp_seq=124 ttl=64 time=6.43 ms
64 bytes from 192.168.1.2: icmp_seq=125 ttl=64 time=2.80 ms
64 bytes from 192.168.1.2: icmp_seq=126 ttl=64 time=4.10 ms
64 bytes from 192.168.1.2: icmp_seq=127 ttl=64 time=28.9 ms
64 bytes from 192.168.1.2: icmp_seq=128 ttl=64 time=4.71 ms
64 bytes from 192.168.1.2: icmp_seq=129 ttl=64 time=45.9 ms
64 bytes from 192.168.1.2: icmp_seq=130 ttl=64 time=5.05 ms
64 bytes from 192.168.1.2: icmp_seq=131 ttl=64 time=19.8 ms
64 bytes from 192.168.1.2: icmp_seq=132 ttl=64 time=2.60 ms
64 bytes from 192.168.1.2: icmp_seq=133 ttl=64 time=1.81 ms
64 bytes from 192.168.1.2: icmp_seq=134 ttl=64 time=6.14 ms
64 bytes from 192.168.1.2: icmp_seq=135 ttl=64 time=1.78 ms
64 bytes from 192.168.1.2: icmp_seq=136 ttl=64 time=25.7 ms
64 bytes from 192.168.1.2: icmp_seq=137 ttl=64 time=3.02 ms
64 bytes from 192.168.1.2: icmp_seq=138 ttl=64 time=1.84 ms
